10   153    2.601068
20   671    2.810328
30   1578    2.878525
40   2816    2.912287
50   4447    2.932433
60   6406    2.945817
70   8762    2.955353
80   11481    2.962493
90   14572    2.968038
100   17965    2.972470
110   21707    2.976093
120   25969    2.979109
130   30472    2.981661
140   35279    2.983846
150   40607    2.985739
160   46322    2.987395
170   52152    2.988856
180   58519    2.990154
190   65196    2.991315
200   72222    2.992360
